[2026-07-25T14:10:40.121Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js","lineno":15264,"colno":28,"error":"TypeError: Cannot read properties of null (reading 'addEventListener')\n    at Object.connect (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15264:28)\n    at CanvasImpl.useIsomorphicLayoutEffect.run (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/react-three-fiber.esm.js:116:86)\n    at Provider.useIsomorphicLayoutEffect (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:14893:28)\n    at Object.react_stack_bottom_frame (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:13141:44)\n    at B (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:7903:70)\n    at ca (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:10920:101)\n    at Pf (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:10908:32)\n    at yn (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:11184:44)\n    at rt (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:11563:73)\n    at yn (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:11195:39)\n    at Th (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:12500:51)\n    at Hf (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:12460:36)\n    at yh (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:12102:17)\n    at Lf (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:12087:33)\n    at Tu (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:8280:129)\n    at MessagePort.performWorkUntilDeadline (webpack-internal:///(app-pages-browser)/./node_modules/scheduler/cjs/scheduler.development.js:45:48)"}
[2026-07-25T14:18:51.260Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.262Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.262Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.262Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.262Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.262Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.398Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.399Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.399Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
[2026-07-25T14:18:51.399Z] FRONTEND ERROR: {"message":"Uncaught TypeError: Cannot read properties of undefined (reading 'toArray')","filename":"webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js","lineno":3480,"colno":19,"error":"TypeError: Cannot read properties of undefined (reading 'toArray')\n    at flatten (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3480:19)\n    at PureArrayUniform.setValueM4Array [as setValue] (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:3854:18)\n    at WebGLUniforms.upload (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:4084:19)\n    at setProgram (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10536:31)\n    at WebGLRenderer.renderBufferDirect (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:9759:29)\n    at renderObject (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10244:23)\n    at renderObjects (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10226:21)\n    at renderScene (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10133:49)\n    at WebGLRenderer.render (webpack-internal:///(app-pages-browser)/./node_modules/three/build/three.module.js:10038:17)\n    at update (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15113:63)\n    at loop (webpack-internal:///(app-pages-browser)/./node_modules/@react-three/fiber/dist/events-b389eeca.esm.js:15136:23)"}
